	Date	Text	Favorite		
472	2020-10-18 18:36:23	( *˙˙*)	3818		
472	2020-10-18 18:36:23	(*´︶`*)❤︎	3818		
474	2020-10-18 15:30:48	⸜(* ॑꒳ ॑*  )⸝⋆*	1853		
475	2020-10-18 00:06:09	(*ˊᵕˋ*)♪	4043		
478	2020-10-17 23:12:20	(〃♥ω♥〃)	1942		
479	2020-10-17 23:10:01	⸜(* ॑꒳ ॑*  )⸝⋆*	2370		
481	2020-10-17 22:21:35	(*´︶`*)❤︎	3404		
482	2020-10-17 20:56:02	( *´꒳`* )	2021		
483	2020-10-17 18:44:39	( *´꒳`* )	1652		
484	2020-10-17 18:15:03	(◍˃ ᵕ ˂◍)	523		
484	2020-10-17 18:15:03	(๑⃙⃘ˊ꒳​ˋ๑⃙)	523		
485	2020-10-16 21:56:30	(*´`)♡	1321		
486	2020-10-16 21:26:04	(；_；)	6346		
487	2020-10-16 16:43:30	( *´꒳`* )	2612		
487	2020-10-16 16:43:30	(*ˊᵕˋ*)♪	2612		
488	2020-10-16 09:45:01	( * ॑˘ ॑*  ) ⁾⁾	2076		
491	2020-10-15 19:32:04	⸜(*ˊᵕˋ* )⸝	2494		
492	2020-10-14 23:12:29	(*´︶`*)❤︎	162		
493	2020-10-14 23:10:02	(๑˙―˙๑)	2494		
494	2020-10-14 22:43:03	(◍˃ ᵕ ˂◍)	2513		
495	2020-10-14 22:36:40	(*ˊᵕˋ*)♪	836		
496	2020-10-14 22:29:04	⸜(*ˊᵕˋ* )⸝	773		
497	2020-10-14 18:23:10	(´•ωก)°゜ﾟ	2412		
498	2020-10-14 18:14:42	( ⸝•ᴗ•⸝)♡	2366		
499	2020-10-14 17:52:51	(*´―｀*)	3123		
499	2020-10-14 17:52:51	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3123		
500	2020-10-14 14:10:00	⸜(*ˊᵕˋ* )⸝	2505		
500	2020-10-14 14:10:00	❀(*´▽`*)❀	2505		
501	2020-10-14 09:04:09	(*ˊᵕˋ*)♪	2352		
502	2020-10-13 21:56:59	(っ﹏-) .｡	2636		
503	2020-10-13 21:51:08	( ´͈ ᵕ `͈ )	2147		
505	2020-10-12 22:16:37	(ᐡ⸝⸝-  ̫ -⸝⸝ᐡ)	5266		
506	2020-10-12 16:59:49	⸜(*ˊᗜˋ*)⸝	1641		
510	2020-10-11 17:45:48	( ´͈ ᵕ `͈ )	3296		
511	2020-10-11 17:40:59	( ´•̥  ̫ •̥` )	4114		
514	2020-10-11 16:58:06	(◍˃ ᵕ ˂◍)	4263		
515	2020-10-11 01:05:04	(ヾﾉ･∀･`)	3619		
518	2020-10-10 23:41:52	(*´ ˘ `*)♡	5657		
519	2020-10-10 23:37:47	(*´︶`*)❤︎	2596		
521	2020-10-10 23:37:05	(◍˃ ᵕ ˂◍)	3709		
523	2020-10-10 23:35:50	⸜(*ˊᵕˋ* )⸝	2197		
528	2020-10-10 22:27:10	(〃♥ω♥〃)	3035		
529	2020-10-09 21:33:00	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3692		
530	2020-10-08 19:16:11	( ´ω｀)	2753		
530	2020-10-08 19:16:11	(((﹡•﹏•﹡)))	2753		
531	2020-10-08 09:12:45	| ू'-')	2435		
533	2020-10-07 00:07:25	(×﹏×)	2391		
533	2020-10-07 00:07:25	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2391		
536	2020-10-06 14:51:03	( * ॑˘ ॑*  ) ⁾⁾	883		
537	2020-10-06 14:46:59	(〃♥ω♥〃)	1945		
538	2020-10-05 20:57:40	(◍˃ ᵕ ˂◍)	16		
541	2020-10-04 21:10:36	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2270		
544	2020-10-04 10:10:18	⸜(*ˊᵕˋ* )⸝	1169		
546	2020-10-04 00:19:20	(*´︶`*)❤︎	3559		
547	2020-10-03 22:58:46	(  •̥ ˍ •̥  )	7976		
547	2020-10-03 22:58:46	( ⸝•ᴗ•⸝)♡	7976		
548	2020-10-03 22:36:54	(๑ ᵒ̴̶̷̥́ ^ ᵒ̴̶̷̣̥̀ ๑)	3225		
553	2020-10-03 22:09:16	❀(*´▽`*…	1527		
554	2020-10-03 19:02:57	(◍˃ ᵕ ˂◍)	995		
554	2020-10-03 19:02:57	|･ω･*)	995		
555	2020-10-03 17:34:57	( ⸝•ᴗ•⸝)♡	917		
556	2020-10-03 16:53:05	(*´︶`*)❤︎	1135		
557	2020-10-02 19:12:50	♡(´｡•ㅅ•｡`)	3428		
561	2020-10-02 18:55:19	(*´︶`*)❤︎	2308		
561	2020-10-02 18:55:19	⸜(*ˊᵕˋ* )⸝	2308		
562	2020-10-02 00:07:15	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	95		
